S.No,Title,Pdf_Link,Date
1,"             Press Release on Telecom Subscription Data as on 30th November, 2018          ",https://main.trai.gov.in/sites/default/files/PRNo05Eng18012019.pdf,18/01/2019
2,             Press Release on Consumer choices in the New Regulatory Framework for Broadcasting and Cable Services          ,https://main.trai.gov.in/sites/default/files/PRNo0410012019.pdf,10/01/2019
3,             Press Release on Implementation of New Regulatory Framework for Broadcasting & Cable Services          ,https://main.trai.gov.in/sites/default/files/PR_No.03of2019.pdf,08/01/2019
4,"             Press Release on Indian Telecom Services Performance Indicator Report for the Quarter ending September, 2018          ",https://main.trai.gov.in/sites/default/files/PRNo02Eng08012019.pdf,08/01/2019
5,"             Press Release on Telecom Subscription Data as on 31st October, 2018           ",https://main.trai.gov.in/sites/default/files/PRNo01Eng02012019_0.pdf,02/01/2019
6,              Extension of time for receiving Counter Comments on Consultation Paper on 'Review of extant provision for sending the printed bills to postpaid subscribers of (i) Landline and (ii) Mobile services as default option'.          ,https://main.trai.gov.in/sites/default/files/PR_No.129of2018.pdf,28/12/2018
7,             Extension of time for receiving Comments and Counter-comments on the Consultation Paper on ''Review of Television Audience Measurement and Ratings in India''.          ,https://main.trai.gov.in/sites/default/files/PRNo12828122018.pdf,28/12/2018
8,             Press Release on Migration to New Regulatory Framework for Broadcasting & Cable Services          ,https://main.trai.gov.in/sites/default/files/PRNo12728122018.pdf,28/12/2018
9,             TRAI releases Recommendations on Methodology for levy of Spectrum Charges for provision of Satellite based Services using Gateway installed in India under 'sui-generis' category          ,https://main.trai.gov.in/sites/default/files/PRNo12627122018.pdf,27/12/2018
10,             Press Release on Migration to the New Regulatory Framework for Broadcasting & Cable Services.          ,https://main.trai.gov.in/sites/default/files/PRNo12526122018.pdf,26/12/2018
11,             TRAI conducts Seminar on ''Smartphone Usage'' on 20.12.2018 at Guwahati          ,https://main.trai.gov.in/sites/default/files/PRNo12426122018.pdf,26/12/2018
12,"             TRAI issues Telecom Commercial Communications Customer Preference (Amendment) Regulations, 2018          ",https://main.trai.gov.in/sites/default/files/PRNo12321122018.pdf,21/12/2018
13,"             TRAI Releases Report on Independent Drive Tests conducted in Six cities viz. Darjeeling, Kursong & Siliguri, Jamnagar, Nellore, Tiruvannamalai, Udaipur and Ujjain          ",https://main.trai.gov.in/sites/default/files/PRNo12221122018.pdf,21/12/2018
14,             Press Release on Implementation of New Regulatory Framework for Broadcasting & Cable Services Sector          ,https://main.trai.gov.in/sites/default/files/PRNo12118122018.pdf,18/12/2018
15,"             TRAI conducts ''Regional Workshop on Capacity Building of Consumer Advocacy Groups'' at Hyderabad, Telangana          ",https://main.trai.gov.in/sites/default/files/PRNo12017122018.pdf,17/12/2018
16,"             TRAI releases Telecommunication Mobile Number Portability (Seventh Amendment) Regulations, 2018          ",https://main.trai.gov.in/sites/default/files/PRNo11913122018.pdf,13/12/2018
17,             Extension of time for receiving comments on 'Consultation paper on Regulatory Framework for Over The Top (OTT) Communication Services'          ,https://main.trai.gov.in/sites/default/files/PRNo11807122018.pdf,07/12/2018
18,             TRAI releases Consultation Paper on Review of Television Audience Measurement and Ratings in India          ,https://main.trai.gov.in/sites/default/files/PRNo11703122018.pdf,03/12/2018
19,             TRAI conducted an OHD on Consultation Paper - Methodology for levy of Spectrum Charges for provision of Satellite based Services using Gateway installed in India under sui-generis category          ,https://main.trai.gov.in/sites/default/files/PR_No.116of2018.pdf,28/11/2018
20,"             TRAI releases The International Telecommunication Cable Landing Stations Access Facilitation Charges and Co-Location Charges (Amendment) Regulations, 2018          ",https://main.trai.gov.in/sites/default/files/PRNo11528112018.pdf,28/11/2018
21,"             Press Release on Telecom Subscription Data as on 30th September, 2018          ",https://main.trai.gov.in/sites/default/files/PRNo114Eng28112018.pdf,28/11/2018
22,"             TRAI Releases Report on Independent Drive Tests conducted in Six cities viz. Dehradun, Indore, Jhansi, Leh, Salem and Tiruppur.          ",https://main.trai.gov.in/sites/default/files/PRNo11328112018.pdf,28/11/2018
23,             TRAI conducts a half-day Interactive Session on ''New Regulatory Framework for Broadcasting & Cable Services'' at New Delhi.          ,https://main.trai.gov.in/sites/default/files/PRNo11219112018.pdf,19/11/2018
24,             TRAI releases Consultation Paper on Review of extant provision for sending the printed bills to consumers of landline and postpaid Mobile subscribers          ,https://main.trai.gov.in/sites/default/files/PRNo110Eng15112018.pdf,15/11/2018
25,             TRAI Releases Report on Independent Drive Tests (IDTs) conducted on Highways and Rail Routes          ,https://main.trai.gov.in/sites/default/files/PRNo11115112018.pdf,15/11/2018
26,             TRAI releases Consultation Paper on Regulatory Framework for Over-The-Top (OTT) Communication Services          ,https://main.trai.gov.in/sites/default/files/PRNo10912112018.pdf,12/11/2018
